quality	left_url	right_url
draw	https://www.mk.ru/science/2020/05/25/ukraina-planiruet-vybit-rossiyu-iz-kosmicheskikh-proektov-ssha.html	http://tvoygorodpskov.ru/2020/05/893263-ukraina-planiruet-vibit-rossiyskuyu-federaciyu-iz.html
draw	https://sputnik-georgia.ru/world_culture/20200525/248572702/Venetsianskiy-kinofestival-ne-perenesut-iz-za-pandemii.html	https://www.igromania.ru/news/94053/Venecianskiy_kinofestival_ne_stali_perenosit_iz-za_koronavirusa.html
right	https://kp.ua/sport/668349-stadyon-chernomorets-prodan-amerykanskoi-kompanyy	https://oligarh.media/2020/05/25/odesskij-stadion-chernomorets-za-193-mln-griven-kupila-kompaniya-iz-kalifornii/
left	https://www.newsru.com/realty/25may2020/zhkh_com.html	https://fedpress.ru/news/77/society/2503940
left	https://www.niann.ru/?id=552502	https://nn.mk.ru/social/2020/05/25/dozhdi-snova-proydut-v-nizhnem-novgorode.html
right	https://newinform.com/227218-shtrafy-za-feiki-pomogut-zashchitit-rossiyu-ot-zapadnyh-vbrosov	https://polit.info/496633-mezyuho-nazval-nakazanie-za-feiki-o-pandemii-effektivnoi-i-svoevremennoi-meroi
left	https://meduza.io/news/2020/05/25/minyust-razreshil-partii-pryamoy-demokratii-uchastvovat-v-vyborah-ee-sozdal-odin-iz-osnovateley-world-of-tanks	https://tvrain.ru/news/minjust_razreshil_partii_sozdatelja_world_of_tanks_uchastvovat_v_vyborah-509420/
left	https://fedpress.ru/news/24/society/2503632	https://www.mk.ru/social/2020/05/25/ministr-zdravookhraneniya-krasnoyarskogo-kraya-ushel-na-samoizolyaciyu.html
left	https://pasmi.ru/archive/270358/	https://www.rbc.ru/business/25/05/2020/5ecb96b49a79470da6ce6cb4
right	https://football.ua/italy/422522-chelsi-ne-sobiraetsja-vykupat-boga.html	https://www.sports.ru/football/1085745469.html
right	https://www.onlinetambov.ru/news/society/shtrafy-za-narushenie-pdd-na-zh-d-pereezde-khotyat-uvelichit/	https://iz.ru/1015370/2020-05-25/v-gosdume-predlozhili-uvelichit-shtraf-za-narushenie-pdd-na-zhd-pereezde
left	https://www.mk.ru/economics/2020/05/25/nazvany-regionylidery-rossii-po-socialnoy-orientirovannosti-byudzhetov.html	https://up74.ru/articles/news/120320/
right	https://lenta.ru/news/2020/05/25/phill/	https://kurer-sreda.ru/2020/05/25/561977-sud-zastavil-kirkorova-zaplatit-stroitelyam-23-mln-rublej-za-remont-v-ego-zagorodnom-dome?utm_source=google&utm_medium=cpc&utm_term=%7Bkeyword%7D&utm_content=%7Bcreative%7D&utm_campaign=%7Bnetwork%7D
right	https://ura-inform.com/ru/economics/2020/05/25/pensija-po-novomu-chto-zhdet-ukraintsev-uzhe-v-blizhajshem-buduschem	https://strana.ua/news/269229-nakopitelnuju-pensionnuju-sistemu-mohut-vnedrit-do-2021-hoda.html
draw	https://rg.ru/2020/05/25/gosuchrezhdeniia-iz-postradavshih-otraslej-smogut-tratit-subsidii-na-zarplaty.html	https://bankir.ru/novosti/20200525/gosucrezdenia-iz-postradavsih-otraslej-smogut-tratit-subsidii-na-zarplaty-10177588/
right	https://www.kommersant.ru/doc/4356082	https://www.interfax.ru/russia/710102
right	https://rns.online/finance/FaS-podala-isk-k-Otkritie-holdingu-2020-05-25/	https://pravo.ru/fas15/news/222106/
left	https://rueconomics.ru/443872-edinaya-rossiya-soobshchila-podrobnosti-ddos-ataki-na-sait-predvaritelnogo-golosovaniya	https://polit.info/496614-sait-praimeriz-edinoi-rossii-podvergsya-hakerskoi-atake
left	https://www.euro-football.ru/article/29/1004367313_semin_vozvraschenie_v_lokomotiv_iz_kieva_byilo_pospeshnyim_resheniem	https://nevasport.ru/144101-syomin-vozvrashhenie-v-lokomotiv-bylo-pospeshnym-resheniem/
right	https://lenta.ru/news/2020/05/25/brazil_usa/?utm_medium=social&utm_source=telegram	https://www.interfax.ru/world/710262
right	https://inkazan.ru/news/city/25-05-2020/ispolkom-kazani-iz-za-koronavirusa-sokratil-rashody-byudzheta	https://realnoevremya.ru/news/175690-postupleniya-v-byudzhet-kazani-snizilis-bolee-chem-na-800-millionov-rubley
left	http://allsport-news.net/366483_chelsi_ne_budet_vyikupat_boga_za_15_mln_evro__klub_hochet_poluchit_protsent_ot_dalneyshey_prodaji.html	https://football.ua/italy/422522-chelsi-ne-sobiraetsja-vykupat-boga.html
left	https://actualnews.org/exclusive/347459-perezhivshij-insult-akter-aleksej-janin-vstaet-na-nogi.html	https://newsbuzz.ru/archives/168465
right	https://kavkaz.mk.ru/sport/2020/05/25/stavropole-mozhet-stat-centrom-ekstremalnogo-sporta.html	https://tass.ru/v-strane/8560039
draw	http://timer-odessa.net/news/parad_pobedi_v_moskve_proydet_24_iyunya_219.html	https://news.ykt.ru/article/101360
bad	https://hotgeo.ru/economy/66967	https://www.rbc.ru/business/25/05/2020/5ecac0bf9a7947bbbbdc3243
right	https://vestikavkaza.ru/articles/po-zapadnoj-avstralii-udaril-storm-desatiletia.html	https://www.mk.ru/incident/2020/05/25/v-avstralii-okolo-50-tys-domov-lishilis-energosnabzheniya-izza-shtorma.html
left	http://dynamomania.com/news/530966-arsenal-poboretsya-s-chelsi-za-koutinyu	https://football.ua/england/422479-arsenal-vkljuchilsja-v-gonku-za-koutino.html
right	https://info24.ru/news/eks-chinovnika-iz-dagestana-budut-sudit-za-vzyatku-ruzhem-i-chasami-glave-ufas.html	https://inforeactor.ru/304394-byvshii-dagestanskii-chinovnik-kadiev-poidet-pod-sud-za-vzyatku-v-2-mln-rublei
bad	https://runews24.ru/politics/25/05/2020/634426s96c6ef143ee4022a2e6bc776b	http://tvoygorodpskov.ru/2020/05/893249-tramp-skazal-chto-vsyu-svoyu-prezidentskuyu-zarabotnuyu.html
draw	https://www.rbc.ru/politics/25/05/2020/5ecb31e49a7947debac5bb2c	https://news.ru/politics/kitaj-obvinil-ssha-v-torpedirovanii-novoj-holodnoj-vojny/
right	https://lenta.ru/news/2020/05/25/pozhar/	https://tass.ru/proisshestviya/8553633
right	https://korrespondent.net/lifestyle/4232633-Facebook-pokazal-rabochee-mesto-buduscheho	https://www.epravda.com.ua/rus/news/2020/05/25/660913/
right	https://www.kommersant.ru/doc/4356360	https://theins.ru/news/221538
left	https://ukranews.com/news/704428-amku-priznal-pravomernymi-dejstviya-tendernogo-komiteta-ukrzaliznytsi-pri-zakupke-masel	https://korrespondent.net/business/companies/4232755-amku-ne-nashel-narushenyi-v-zakupkakh-masel-ukrzalyznytsei
left	https://kubnews.ru/obshchestvo/2020/05/25/nuzhen-propusk-v-merii-krasnodara-rasskazali-kak-zhiteli-adygei-mogut-proekhat-v-gorod-vo-vremya-kar/	http://www.yugopolis.ru/news/zheltyj-propusk-obyazatelen-zhitelyam-adygei-raz-yasnili-pravila-v-ezda-v-krasnodar-127053
left	https://polit.info/496654-moskovskie-specialisty-soobshchili-o-smerti-76-pacientov-s-diagnostirovanym-covid-19	https://ria.ru/20200525/1571981487.html
right	https://oligarh.media/2020/05/25/kievskie-trts-mogut-otkryt-na-etoj-nedele/	https://strana.ua/news/269232-kohda-v-kieve-otkrojut-trts-i-kak-oni-budut-rabotat-kommentarij-klichko.html
right	https://vesti-sochi.tv/obshhestvo/65605-kamery-khraneniya-i-dopolnitelnoe-osveshchenie-plyazhi-sochi-gotovyatsya-k-sezonu	https://tass.ru/obschestvo/8556287
left	https://newizv.ru/news/world/25-05-2020/prezident-chernogorii-zayavil-chto-strana-pobedila-pandemiyu	https://www.livekuban.ru/news/obshchestvo/eshche-odna-strana-soobshchila-o-pobede-nad-covid-19-/
right	https://from-ua.com/news/549980-v-harkove-bessledno-ischez-podrostok-primeti.html	https://glavnoe.ua/news/n357027621-v-harkove-propal-14-letnij-podrostok-(foto)
left	https://www.sports.ru/football/1085747808.html	https://iz.ru/1015573/2020-05-26/uekhavshii-v-ssha-rossiiskii-futbolist-pozhalovalsia-na-sumasshedshie-tceny
right	https://pasmi.ru/archive/270361/	https://www.kommersant.ru/doc/4356453
left	https://moika78.ru/news/2020-05-25/420314-nedolgo-muzyka-igrala-fresku-brodskogo-zakrasili/	https://www.znak.com/2020-05-25/v_sankt_peterburge_kommunalchiki_unichtozhili_graffiti_s_portretom_brodskogo
right	https://www.mk.ru/social/2020/05/25/sk-poprosil-arestovat-zakhvatchika-banka-v-moskve.html	https://tass.ru/proisshestviya/8557935
right	https://www.interfax.ru/russia/710138	https://tass.ru/proisshestviya/8557935
right	https://versiya.info/shou-biznes/153164	https://www.vokrug.tv/article/show/15903940111/
left	https://lb.ua/society/2020/05/25/458297_vozle_granitsi_rossiey_zaderzhali.html	https://korrespondent.net/ukraine/4232614-pohranychnyky-zaderzhaly-narushytelia-s-piatui-pasportamy
bad	https://www.pravda.ru/news/showbiz/1501176-Tarzan/	https://www.vokrug.tv/article/show/15904114871/
left	http://primorye24.ru/news/post/130314-zhitel-elitnoy-novostroyki-vo-vladivostoke-pobil-vosem-mashin-na-parkovke	https://vostokmedia.com/news/society/25-05-2020/ponyat-i-prostit-politsiya-prokommentirovala-raznos-mashin-na-parkinge-vo-vladivostoke
right	https://ria.ru/20200525/1571974558.html	https://from-ua.com/news/550003-v-ukraine-vipustili-igru-v-kotoroi-gitler-provodit-parad-na-krasnoi-ploschadi-video.html
right	https://www.rosbalt.ru/russia/2020/05/25/1845226.html	https://www.kommersant.ru/doc/4356183
right	https://www.dp.ru/a/2020/05/25/Peterburg_proshhaetsja_s_rek	https://gorod-plus.tv/news/74662
draw	https://tass.ru/obschestvo/8553223	https://runews24.ru/omsk/25/05/2020/71eb28s098477f38fa7b2ad98eae2014
right	https://realty.ria.ru/20200525/1571946171.html	https://tass.ru/moskva/8557269
left	https://ukranews.com/news/704387-metro-v-kieve-polupustoe-sotsseti-o-pervom-dnyu-raboty-metropolitena	https://apostrophe.ua/news/society/kiev/2020-05-25/ne-poverili-v-metro-kak-karantin-otuchil-kievlyan-polzovatsya-podzemkoy/198303
draw	https://gordonua.com/news/worldnews/v-belarusi-zafiksirovali-bolee-37-tysyach-zabolevshih-koronavirusom-1501406.html	http://mignews.com.ua/world/24085433.html
left	http://dynamomania.com/news/531033-felish-poluchil-travmu-u-portugalca-rastyazhenie-svyazok-levogo-kolen	https://footballhd.ru/allnews/spanianews/301171-zhoau-felish-poluchil-travmu.html
left	https://www.metronews.ru/novosti/world/reviews/vo-vremya-intervyu-premera-novoy-zelandii-v-pryamom-efire-proizoshlo-zemletryasenie-1675834/	https://rueconomics.ru/443822-dzhasinda-ardern-stoiko-perenesla-zemletryasenie-magnitudoi-v-58-ballov
right	https://football.ua/germany/422487-borussija-d-bavarija-gde-smotret-match-bundesligi.html	https://sport.ua/news/489014-borussiya-dortmund-bavariya-tekstovaya-translyatsiya-matcha
left	https://www.obozrevatel.com/economics/economy/kabmin-hochet-povyisit-tsenyi-na-elektroenergiyu-dlya-promyishlennosti-na-20-dokument.htm	http://pozitciya.com.ua/80065-v-ugodu-zelenym-tarif-na-elektroenergiyu-vse-taki-vyrastet.html
left	https://newdaynews.ru/kurgan/692957.html	https://uralpolit.ru/news/kurgan/25-05-2020/202184
draw	https://www.mskagency.ru/materials/3006231	https://grozny.tv/news.php?id=37879
right	https://korrespondent.net/ukraine/4232659-v-vynnytse-ubyly-voennosluzhascheho	https://real-vin.com/v-vinnice-ot-nozhevogo-ranenija-v-zhivot-skonchalsja-boec-nacgvardii
left	https://real-vin.com/naznachenie-saakashvili-v-tbilisi-nazvali-uslovie-vozvrashhenija-posla-v-ukrainu	https://glavnoe.ua/news/n357027645-v-gruzii-rasskazali-kogda-vernut-posla-v-ukrainu
right	https://gorod-plus.tv/news/74672	https://topspb.tv/news/2020/05/25/vyvoznye-rejsy-iz-indonezii-i-kirgizii-vernut-v-peterburg-bolee-200-rossiyan/
bad	https://www.kommersant.ru/doc/4355989	https://eadaily.com/ru/news/2020/05/25/mishustin-svedet-k-minimumu-byurokraticheskie-procedury-kasayushchiesya-covid-19
left	https://tass.ru/proisshestviya/8553809	http://primorye24.ru/news/post/130319-sk-zanyalsya-strashnoy-avariey-v-kotoroy-vyzhila-tolko-11-letnyaya-devochka
right	https://www.rosbalt.ru/piter/2020/05/25/1845214.html	https://topspb.tv/news/2020/05/25/v-yanino-muzhchina-zadushil-svoyu-devushku-i-vozil-ee-telo-v-stroitelnoj-telezhke-po-poselku/
right	https://vestikavkaza.ru/news/rospotrebnadzor-maloveroatno-cto-nasekomye-mogut-byt-perenoscikami-koronavirusa.html	https://tass.ru/obschestvo/8556909
right	https://www.kasparov.ru/material.php?id=5ECB5B39EE85F	https://tvrain.ru/news/bolshe_poloviny_rossijan_soobschili_o_sokraschenii_zarplaty-509385/
right	https://nbnews.com.ua/za-rubezhom/2020/05/25/tramp-nazval-sebya-samym-khudshim-chto-sluchalos-s-rossiei/	https://runews24.ru/politics/25/05/2020/634426s96c6ef143ee4022a2e6bc776b
left	https://newinform.com/227185-chinovnik-v-dagestane-popalsya-na-vzyatke-eks-glave-ufas	https://pasmi.ru/archive/270347/
left	https://for-ua.com/article/1199376	https://34.ua/ru/v-dnepropetrovskoj-oblasti-na-meste-obvala-mosta-oboruduyut-plavuchuyu-perepravu_n95503
left	https://strana.ua/news/269363-disney-i-pixar-vpervye-vypustili-multfilm-s-heem-v-hlavnoj-roli.html	https://tsargrad.tv/news/podnjali-planku-studija-pixar-snjala-multfilm-pro-gomoseksualista_255954
right	http://primorye24.ru/news/post/130304-oleg-kozhemyako-zapisal-video-s-pozhara-v-gorbolnice-partizanska	https://www.mk.ru/incident/2020/05/25/glava-goroda-pomogal-evakuirovat-lyudey-iz-goryashhey-bolnicy-partizanska.html
right	https://gubdaily.ru/news/kareliya-popala-v-spisok-samyx-zagadochnyx-mest-v-mire/	https://ria.ru/20200525/1571929854.html
left	https://www.interfax.ru/moscow/710255	https://news.ru/incidents/na-yuge-stolicy-zagorelsya-transformator/
left	https://politexpert.net/198041-amerikanskie-mediki-opredelili-glavnuyu-mishen-covid-19-v-organizme-cheloveka?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fyandex.ru%2Fnews	https://rueconomics.ru/443912-nazvana-glavnaya-cel-koronavirusa-v-chelovecheskom-organizme
right	https://lenta.ru/news/2020/05/25/kybinka/	https://tsargrad.tv/news/molodaja-devushka-lishilas-zhizni-iz-za-30-tys-rublej-v-moskve-pohishhena-i-ubita-urozhenka-kuby_255940
left	https://gorod-plus.tv/news/74633	https://www.dp.ru/a/2020/05/25/V_Peterburge_snova_snizil
left	https://368.media/2020/05/25/v-kieve-razoblachili-gruppu-narkodillerov-v-kotoruyu-vhodil-rabotnik-sbu/	https://www.facenews.ua/news/2020/481117/
left	https://tass.ru/obschestvo/8557671	https://lenta.ru/news/2020/05/25/vspomnil/
bad	https://inforeactor.ru/304293-mo-rf-polevoi-gospital-v-buinakske-nachal-priem-pacientov	https://www.1tv.ru/news/2020-05-25/386453-dagestan_zanimaet_pyatoe_mesto_po_kolichestvu_vyyavlennyh_sluchaev_zabolevaniya_covid_19
right	https://liganews.net/world/19279_1590417378	https://racurs.ua/n138732-zelenskiy-iz-za-plenok-poroshenko-baydena-mojet-postavit-pod-ugrozu-otnosheniya-s-ssha-the.html
left	https://ria.ru/20200525/1571974558.html	https://newsfrol.ru/24/6840/
right	https://stapravda.ru/20200525/v_rossii_utochnili_protseduru_vyborov_s_uchetom_sanitarnoepidemi_148429.html	https://vashgorod.ru/news/1133791
left	https://polit.info/496640-fan-zametil-odobrenie-novoi-gazetoi-deistvii-terroristov-zahvativshih-rossiyan-v-livii	https://newinform.com/227235-radi-diskreditacii-rossii-novaya-gazeta-gotova-na-opravdanie-terrorizma-schitaet-fan
left	https://inforeactor.ru/304404-pacienty-s-koronavirusom-perestayut-byt-zaraznymi-cherez-11-dnei?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fyandex.ru%2Fnews	https://novostivl.ru/post/81992/
left	https://strana.ua/news/269296-vecherom-ponedelnika-tsentr-kieva-stal-v-probkakh.html	https://apostrophe.ua/news/society/kiev/2020-05-25/metro-ne-pomoglo-vse-mostyi-kieva-stoyat-v-sumasshedshih-probkah/198204
left	https://sputnik.by/economy/20200525/1044758857/Dva-novykh-mestorozhdeniya-nefti-otkryty-v-Belarusi.html	https://lenta.ru/news/2020/05/25/belarus/
left	https://eadaily.com/ru/news/2020/05/25/propavshuyu-pod-murmanskom-chetyrehletnyuyu-devochku-nashli-na-dne-tuntsayoki	https://severpost.ru/read/96086/
draw	https://tass.ru/politika/8553611?utm_referrer=https%3A%2F%2Fzen.yandex.com%2F%3Ffrom%3Dspecial&utm_source=YandexZenSpecial	https://news.ykt.ru/article/101271
right	https://www.facenews.ua/news/2020/481145/	https://nikvesti.com/news/politics/189083
right	http://fapl.ru/posts/78651/	https://www.euro-football.ru/article/31/1004367308_klubam_apl_razreshili_vozobnovit_kontaktnyie_trenirovki
right	https://nation-news.ru/525183-insinuacii-novoi-gazety-meshayut-osvobozhdeniyu-rossiiskih-sociologov-iz-liviiskoi-tyurmy	https://politexpert.net/198003-malkevich-stati-novoi-gazety-stavyat-plenennyh-v-livii-sociologov-v-opasnoe-polozhenie
draw	https://novokuznetsk.ru/2020/05/25/vtb-vydal-lgotnye-kredity-na-zarplatu-na-18-mlrd-rublej/	https://newstula.ru/fn_564499.html
left	https://interfax.com.ua/news/general/664571.html	https://www.capital.ua/ru/news/141839-v-rovenskoy-oblasti-v-dome-internate-dlya-prestarelykh-uzhe-28-sluchaev-covid-19
left	https://krivoe-zerkalo.ru/content/mishustinu-predlozhili-naznachit-ezhemesyachnye-vyplaty-beremennym.html	https://news.ru/russia/v-rossii-predlozhili-vvesti-vyplaty-10-tysyach-rublej-dlya-beremennyh-zhenshin/
left	https://football.ua/germany/422505-zabitcer-perebolel-koronavirusom-v-aprele-cds.html	http://dynamomania.com/news/530973-sopernik-sbornoj-ukrainy-tajno-perebolel-koronavirusom
right	https://news.rambler.ru/crime/44233903-v-astrahani-uchitelnitsa-poluchila-uslovnyy-srok-za-sovraschenie-shkolnika/?utm_content=news_media&utm_medium=read_more&utm_source=copylink	https://www.oreanda.ru/gosudarstvo/v-astrahani-pedagog-poluchila-uslovnyy-srok-za-svyaz-s-uchenikom/article1318920/
right	https://www.vesti.ru/doc.html?id=3268070	https://www.m24.ru/news/obshchestvo/25052020/119040
left	https://interfax.com.ua/news/general/664582.html	https://apostrophe.ua/news/society/kiev/2020-05-25/dojd-usilitsya-jiteley-kieva-predupredili-ob-opasnosti/198292
right	https://www.igromania.ru/news/94055/Novyy_SHerlok_Holms_stanet_prikvelom_s_novovvedeniyami_iz_The_Sinking_City.html	https://itc.ua/blogs/ukrainskaya-studiya-frogwares-anonsirovala-igru-sherlock-holmes-chapter-one-o-yunom-sherloke-holmse-reliz-naznachen-na-2021-god-na-pk-xbox-i-ps-trejler/
left	https://www.kommersant.ru/doc/4356275	https://lenta.ru/news/2020/05/25/pregnancy/
right	https://www.mk.ru/economics/2020/05/25/v-gorodakh-upali-ceny-nasemnye-kvartiry.html	https://vedtver.ru/news/society/v-krupnykh-gorodakh-rossii-v-aprele-snizilas-stoimost-arendy-zhilya/
left	https://www.pnp.ru/economics/minoborony-poluchit-19-mlrd-rubley-na-polevye-lagerya-dlya-borby-s-covid-19.html	https://www.interfax.ru/russia/710169
left	https://polit.info/496652-polzovateli-seti-prizyvayut-snyat-muratova-s-posta-glavreda-novoi-gazety	https://politexpert.net/198117-tyaga-k-zakaznym-tekstam-mozhet-lishit-muratova-posta-glavnogo-redaktora-novoi-gazety
left	https://kurer-sreda.ru/2020/05/25/561988-za-seks-s-15-letnij-shkolnikom-uchitelnica-sovratitelnica-poluchila-25-goda-uslovno-v-astraxani?utm_source=google&utm_medium=cpc&utm_term=%7Bkeyword%7D&utm_content=%7Bcreative%7D&utm_campaign=%7Bnetwork%7D	https://www.oreanda.ru/gosudarstvo/v-astrahani-pedagog-poluchila-uslovnyy-srok-za-svyaz-s-uchenikom/article1318920/
left	https://www.iphones.ru/iNotes/avstraliyskie-uchenye-dostigli-skorosti-interneta-v-442-tbits-eto-absolyutnyy-rekord-05-25-2020	https://35media.ru/news/2020/05/25/ustanovlen-mirovoj-rekord-skorosti-interneta
left	https://www.paparazzi.ru/blogs/Alice/425397/	https://moscow-baku.ru/news/shoubiznes/petrosyan_vpervye_opublikoval_foto_s_zhenoy/
right	https://topspb.tv/news/2020/05/25/v-rossii-poyavilsya-servis-onlajn-sobesedovanij/	https://www.searchengines.ru/headhunter-interview-online.html
left	https://interfax.com.ua/news/general/664638.html	http://www.trud.ru/article/25-05-2020/1390218_the_guardian_farmkompanii_otkazalis_sozdavat_vaktsinu_ot_koronavirusa_v_2017-m.html
right	https://www.tourdom.ru/news/aeroflot-planiruet-vosstanovit-prisutstvie-vnutri-rossii.html	https://rns.online/transport/Gruppa-aeroflot-obyavila-o-nachale-vosstanovaleniya-perevozok-v-iyune-2020-05-25/
bad	https://russian.rt.com/sport/news/749651-lomberts-zenit-den-rozhdeniya	https://www.sportsdaily.ru/articles/strashnyj-proval-zenita-kak-eto-bylo-v-yubilej-oktyabrya
